"Name","points_per_game_ppg","position","goals_g","assists_a","country","games_played_gp","height","weight","penalties_in_minutes_pim","plus_minus_goal_differential","shots_on_goal_sog","age","shoot","total_minutes_as_duration","points"
"Nelli Laitinen",1.429,"D",3,7,"Finland",7,162,69,2,8,21,20,"L","2:29:58",10
"Viivi Vainikka",1.429,"F",5,5,"Finland",7,166,69,0,8,21,21,"L","2:11:24",10
"Noemi Neubauerova",0.429,"F",0,3,"Czech Republic",7,173,69,4,-5,11,23,"R","1:30:06",3
"Josefin Bouveng",0.143,"F",1,0,"Sweden",7,175,69,0,-3,9,21,"L","0:44:04",1
"Marie Delarbre",0.167,"F",0,1,"Germany",6,172,69,2,-1,5,29,"L","2:01:12",1
"Nathalie Lidman",0,"D",0,0,"Sweden",4,171,69,6,1,3,21,"L","0:44:43",0
"Marie-Pierre Pelissou",0,"D",0,0,"France",4,173,69,4,-8,3,27,"L","1:30:15",0
"Noora Tulus",1.429,"F",2,8,"Finland",7,165,68,0,5,27,27,"R","2:23:21",10
"Katarina Jobst-Smith",0.5,"D",1,2,"Germany",6,170,68,0,-2,19,21,"R","2:33:52",3
"Rebecca Johnston",0.286,"F",2,0,"Canada",7,175,68,0,1,18,33,"L","1:48:00",2
"Blayre Turnbull",0.857,"F",2,4,"Canada",7,170,68,6,0,15,29,"R","1:45:44",6
"Lacey Eden",0.143,"F",1,0,"US",7,173,68,4,1,14,20,"R","1:19:53",1
"Mira Jungåker",0.571,"D",1,3,"Sweden",7,170,68,6,1,11,17,"R","1:56:38",4
"Mira Seregely",0.25,"F",1,0,"Hungary",4,176,68,0,-2,10,19,"L","1:12:27",1
"Haley Winn",0.714,"D",0,5,"US",7,165,68,2,4,7,19,"R","1:27:43",5
"Sini Karjalainen",0.286,"D",0,2,"Finland",7,174,68,0,2,6,24,"L","1:08:50",2
"Mia Väänänen",0.25,"D",0,1,"France",4,173,68,2,-3,5,23,"L","1:24:22",1
"Daria Gleissner",0,"D",0,0,"Germany",6,170,68,4,-3,3,29,"L","2:10:52",0
"Alessia Baechler",0.143,"D",0,1,"Switzerland",7,174,68,4,2,2,17,"L","2:07:20",1
"Micah Zandee-Hart",0.143,"D",0,1,"Canada",7,173,68,2,4,2,26,"L","1:29:00",1
"Shannon Sigrist",0,"D",0,0,"Switzerland",7,167,68,6,-2,0,23,"R","1:44:54",0
"Jule Schiefer",0,"F",0,0,"Germany",6,173,68,2,0,0,21,"L","0:18:01",0
"Charlott Schaffrath",0,"D",0,0,"Germany",6,184,68,0,0,0,17,"L","0:05:17",0
"Sarah Nurse",1.143,"F",4,4,"Canada",7,175,67,6,8,25,28,"L","1:57:17",8
"Claire Thompson",0.286,"D",0,2,"Canada",7,173,67,10,2,19,25,"L","2:11:41",2
"Alina Marti",0,"F",0,0,"Switzerland",7,167,67,2,-5,15,18,"L","1:57:26",0
"Klara Hymlarova",0.143,"F",1,0,"Czech Republic",7,163,67,4,-3,12,24,"L","1:45:53",1
"Savannah Harmon",0,"D",0,0,"US",7,160,67,2,1,12,27,"L","1:54:18",0
"Manon le Scodan",0.25,"F",0,1,"France",4,161,67,0,-5,7,18,"L","0:55:29",1
"Ebba Hedqvist",0,"F",0,0,"Sweden",7,167,67,2,-1,5,16,"L","1:25:50",0
"Maja Nylén-Persson",1,"D",0,7,"Sweden",7,164,67,2,1,5,22,"R","2:23:42",7
"Margot Desvignes",0.25,"F",0,1,"France",4,159,67,2,-2,5,22,"L","1:04:28",1
"Makoto Ito",0.167,"F",0,1,"Japan",6,167,67,4,-2,4,18,"L","2:05:05",1
"Lisa Ruedi",0,"F",0,0,"Switzerland",3,167,67,0,-1,1,22,"L","0:33:36",0
"Petra Nieminen",1.857,"F",6,7,"Finland",7,169,66,2,7,35,23,"L","2:18:24",13
"Hilda Svensson",1.571,"F",5,6,"Sweden",7,167,66,2,8,22,16,"L","2:12:50",11
"Taylor Heise",1.714,"F",1,11,"US",7,178,66,6,9,20,23,"R","2:00:14",12
"Abbey Murphy",1.143,"F",5,3,"US",7,165,66,31,8,18,20,"R","1:32:39",8
"Caroline Harvey",2,"D",4,10,"US",7,170,66,6,14,18,20,"L","2:19:18",14
"Jocelyne Larocque",0.429,"D",0,3,"Canada",7,168,66,4,4,16,34,"L","2:39:35",3
"Nicola Eisenschmid",0.5,"F",2,1,"Germany",6,167,66,0,-2,15,26,"L","1:59:30",3
"Emilia Vesa",0.857,"F",5,1,"Finland",7,177,66,0,6,14,22,"R","1:42:17",6
"Franziska Feldmeier",0.833,"F",2,3,"Germany",6,164,66,0,-1,12,24,"R","1:41:54",5
"Fanny Rask",0,"F",0,0,"Sweden",7,168,66,4,-3,8,31,"L","1:09:37",0
"Rahel Enzler",1,"F",3,4,"Switzerland",7,163,66,0,6,7,22,"L","2:05:45",7
"Emma Maltais",0.143,"F",0,1,"Canada",7,160,66,0,1,7,23,"L","1:10:28",1
"Taylor Baker",0,"D",0,0,"Hungary",4,165,66,6,-2,4,25,"R","1:17:55",0
"Anae Simon",0,"F",0,0,"France",4,169,66,2,-1,1,20,"R","0:14:33",0
"Nina Christof",0,"F",0,0,"Germany",6,164,66,2,-2,1,19,"L","0:34:46",0
"Lea Berger",0,"D",0,0,"France",4,177,66,0,0,0,19,"R","0:00:00",0
"Sarah Fillier",1.571,"F",7,4,"Canada",7,165,65,2,9,30,22,"R","1:45:52",11
"Renata Fast",0.714,"D",1,4,"Canada",7,168,65,4,4,19,28,"R","2:38:06",5
"Haruka Toko",0.667,"F",2,2,"Japan",6,167,65,0,-1,17,26,"L","2:23:03",4
"Chloe Aurard",0.25,"F",0,1,"France",4,168,65,4,-5,11,24,"L","1:30:30",1
"Luisa Welcke",0.167,"F",0,1,"Germany",6,166,65,0,2,10,20,"R","1:18:50",1
"Tereza Vanisova",0.571,"F",0,4,"Czech Republic",7,169,65,4,-1,9,27,"L","1:50:46",4
"Krista Parkkonen",0.429,"D",0,3,"Finland",7,168,65,0,6,8,20,"L","1:30:26",3
"Hanna Thuvik",0.286,"F",1,1,"Sweden",7,170,65,6,1,6,20,"L","1:35:50",2
"Lucie Quarto",0,"D",0,0,"France",4,169,65,8,-9,4,20,"L","1:26:13",0
"Tereza Plosova",0.167,"F",0,1,"Czech Republic",6,175,65,2,2,3,16,"L","0:46:11",1
"Sarah Forster",0,"D",0,0,"Switzerland",7,170,65,4,-8,2,29,"L","1:18:32",0
"Nadine Hofstetter",0,"D",0,0,"Switzerland",7,165,65,2,-3,0,28,"L","0:53:37",0
"Oona Havana",0,"F",0,0,"Finland",7,171,65,0,0,0,18,"R","0:22:52",0
"Denisa Krizova",0.714,"F",3,2,"Czech Republic",7,165,64,4,-2,19,28,"L","1:52:30",5
"Jenniina Nylund",1,"F",5,2,"Finland",7,171,64,2,9,16,23,"L","1:55:28",7
"Erin Ambrose",1,"D",0,7,"Canada",7,165,64,0,3,12,28,"R","2:12:46",7
"Lara Christen",0.714,"D",2,3,"Switzerland",7,163,64,2,-1,7,20,"R","2:25:49",5
"Jade Barbirati",0.25,"F",1,0,"France",4,167,64,4,-6,5,19,"L","1:13:34",1
"Alina Müller",1.429,"F",4,6,"Switzerland",7,167,63,8,-1,26,25,"L","2:16:58",10
"Julia Liikala",0.857,"F",2,4,"Finland",7,166,63,0,9,22,22,"L","2:09:49",6
"Lara Stalder",1.571,"F",4,7,"Switzerland",7,167,63,35,1,21,28,"R","2:07:01",11
"Laura Kluge",0.333,"F",1,1,"Germany",6,179,63,0,0,16,26,"L","1:56:07",2
"Cayla Barnes",1.143,"D",2,6,"US",7,157,63,8,12,15,24,"R","1:59:14",8
"Sanni Rantala",0.714,"D",0,5,"Finland",7,173,63,4,7,12,20,"R","2:01:46",5
"Anna Kjellbin",0.429,"D",1,2,"Sweden",7,169,63,2,1,12,29,"R","2:08:46",3
"Sara Cajanova",0.571,"D",1,3,"Czech Republic",7,170,63,2,-2,9,20,"L","2:30:47",4
